0,0,97
-0.030465,0.248135,97
-0.06093,0.49627,97
-0.091395,0.744405,97
-0.12186,0.99254,97
-0.152325,1.240675,97
-0.18279,1.48881,97
-0.213255,1.736945,97
-0.24372,1.98508,97
-0.274185,2.233215,97
-0.30465,2.48135,97
-0.335115,2.729485,97
-0.36558,2.97762,97
-0.396045,3.225755,97
-0.42651,3.47389,97
-0.456975,3.722025,97
-0.48744,3.97016,97
-0.517905,4.218295,97
-0.54837,4.46643,97
-0.578835,4.714565,97
-0.6093,4.9627,142
-0.857441667,4.932233333,187
-1.105583333,4.901766667,187
-1.353725,4.8713,187
-1.601866667,4.840833333,187
-1.850008333,4.810366667,187
-2.09815,4.7799,187
-2.346291667,4.749433333,187
-2.594433333,4.718966667,187
-2.842575,4.6885,187
-3.090716667,4.658033333,187
-3.338858333,4.627566667,187
-3.587,4.5971,232
-3.55653,4.348965,277
-3.52606,4.10083,277
-3.49559,3.852695,277
-3.46512,3.60456,277
-3.43465,3.356425,277
-3.40418,3.10829,277
-3.37371,2.860155,277
-3.34324,2.61202,277
-3.31277,2.363885,277
-3.2823,2.11575,277
-3.25183,1.867615,277
-3.22136,1.61948,277
-3.19089,1.371345,277
-3.16042,1.12321,277
-3.12995,0.875075,277
-3.09948,0.62694,277
-3.06901,0.378805,277
-3.03854,0.13067,277
-3.00807,-0.117465,277
-2.9776,-0.3656,277
-2.94713,-0.613735,277
