Time,x_d,y_d,theta_d,v_d,delta_
6.075314,4.999229,1.548077,1.602853,1.1747,0.639635
6.125523,4.996918,1.596105,1.63491,1.1747,0.639635
6.175732,4.993069,1.644035,1.666968,1.1747,0.639635
6.225941,4.987685,1.691816,1.699025,1.1747,0.639635
6.276151,4.980773,1.7394,1.731082,1.1747,0.639635
6.32636,4.972339,1.786738,1.763139,1.1747,0.639635
6.376569,4.962392,1.833781,1.795196,1.1747,0.639635
6.426778,4.950942,1.880482,1.827253,1.1747,0.639635
6.476987,4.938002,1.926791,1.85931,1.1747,0.639635
6.527197,4.923584,1.972662,1.891367,1.1747,0.639635
6.577406,4.907703,2.018048,1.923424,1.1747,0.639635
6.627615,4.890375,2.062901,1.955481,1.1747,0.639635
6.677824,4.871619,2.107175,1.987538,1.1747,0.639635
6.728033,4.851453,2.150826,2.019595,1.1747,0.639635
6.778243,4.829899,2.193807,2.051652,1.1747,0.639635
6.828452,4.806978,2.236076,2.083709,1.1747,0.639635
6.878661,4.782714,2.277589,2.115766,1.1747,0.639635
6.92887,4.757132,2.318302,2.147824,1.1747,0.639635
6.979079,4.730258,2.358175,2.179881,1.1747,0.639635
7.029289,4.70212,2.397166,2.211938,1.1747,0.639635
7.079498,4.672747,2.435235,2.243995,1.1747,0.639635
7.129707,4.642169,2.472343,2.276052,1.1747,0.639635
7.179916,4.610417,2.508451,2.308109,1.1747,0.639635
7.230126,4.577524,2.543524,2.340166,1.1747,0.639635
7.280335,4.543524,2.577524,2.372223,1.1747,0.639635
7.330544,4.508451,2.610417,2.40428,1.1747,0.639635
7.380753,4.472343,2.642169,2.436337,1.1747,0.639635
7.430962,4.435235,2.672747,2.468394,1.1747,0.639635
7.481172,4.397166,2.70212,2.500451,1.1747,0.639635
7.531381,4.358175,2.730258,2.532508,1.1747,0.639635
7.58159,4.318302,2.757132,2.564565,1.1747,0.639635
7.631799,4.277589,2.782714,2.596622,1.1747,0.639635
7.682008,4.236076,2.806978,2.62868,1.1747,0.639635
7.732218,4.193807,2.829899,2.660737,1.1747,0.639635
7.782427,4.150826,2.851453,2.692794,1.1747,0.639635
7.832636,4.107175,2.871619,2.724851,1.1747,0.639635
7.882845,4.062901,2.890375,2.756908,1.1747,0.639635
7.933054,4.018048,2.907703,2.788965,1.1747,0.639635
7.983264,3.972662,2.923584,2.821022,1.1747,0.639635
8.033473,3.926791,2.938002,2.853079,1.1747,0.639635
8.083682,3.880482,2.950942,2.885136,1.1747,0.639635
8.133891,3.833781,2.962392,2.917193,1.1747,0.639635
8.1841,3.786738,2.972339,2.94925,1.1747,0.639635
8.23431,3.7394,2.980773,2.981307,1.1747,0.639635
8.284519,3.691816,2.987685,3.013364,1.1747,0.639635
8.334728,3.644035,2.993069,3.045421,1.1747,0.639635
8.384937,3.596105,2.996918,3.077479,1.1747,0.639635
8.435146,3.548077,2.999229,3.109536,1.1747,0.639635
8.485356,3.5,3,3.141593,1.1747,0.639635
8.535565,3.5,3,3.141593,1,-0
8.585774,3.449275,3,3.141593,1,-0
8.635983,3.398551,3,3.141593,1,-0
8.686192,3.347826,3,3.141593,1,-0
8.736402,3.297101,3,3.141593,1,-0
8.786611,3.246377,3,3.141593,1,-0
8.83682,3.195652,3,3.141593,1,-0
8.887029,3.144928,3,3.141593,1,-0
8.937238,3.094203,3,3.141593,1,-0
8.987448,3.043478,3,3.141593,1,-0
9.037657,2.992754,3,3.141593,1,-0
